sg_uf;nm_municipio;ds_cargo;nr_candidato;nm_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_tot_turno;nm_regiao;qt_votos_nom_validos
SP;RIBEIRÃO PRETO;Prefeito;45;ANTONIO DUARTE NOGUEIRA JUNIOR;PSDB;PP / REPUBLICANOS / PSDB / DEM / PTB / PSC / PL;2;Eleito;SUDESTE;154428
SP;SOROCABA;Prefeito;10;RODRIGO MAGANHATO;REPUBLICANOS;PL / PROS / REPUBLICANOS / PP / PRTB / PSD / PTC / PTB;2;Eleito;SUDESTE;153228
SP;SOROCABA;Prefeito;17;JAQUELINE LILIAN BARCELOS COUTINHO;PSL;MDB / PSL / PSC / PSB / PATRIOTA;2;Não eleito;SUDESTE;138201
SP;SÃO PAULO;Prefeito;45;BRUNO COVAS LOPES;PSDB;PP / MDB / PODE / PSC / PL / CIDADANIA / DEM / PTC / PV / PSDB / PROS;2;Eleito;SUDESTE;3169121
SP;SÃO PAULO;Prefeito;50;GUILHERME CASTRO BOULOS;PSOL;PCB / PSOL / UP;2;Não eleito;SUDESTE;2168109
SP;SÃO VICENTE;Prefeito;19;KAYO FELYPE NACHTAJLER AMADO;PODE;PODE / DEM / AVANTE;2;Eleito;SUDESTE;90876
SP;SÃO VICENTE;Prefeito;45;SOLANGE CRISTINA DE FREITAS;PSDB;PSDB;2;Não eleito;SUDESTE;70526
SP;TABOÃO DA SERRA;Prefeito;19;JOSE APRIGIO DA SILVA;PODE;PODE / PSD / PSC / PATRIOTA;2;Eleito;SUDESTE;67853
SP;TABOÃO DA SERRA;Prefeito;45;DANIEL PLANA BOGALHO;PSDB;REPUBLICANOS / PTB / REDE / DC / PMB / PSDB;2;Não eleito;SUDESTE;66158
SP;TAUBATÉ;Prefeito;15;JOSE ANTONIO SAUD JUNIOR;MDB;REPUBLICANOS / PMB / MDB / PV / PROS / PATRIOTA;2;Eleito;SUDESTE;92770
SP;TAUBATÉ;Prefeito;23;LORENY MAYARA CAETANO ROBERTO;CIDADANIA;CIDADANIA / SOLIDARIEDADE / PSB;2;Não eleito;SUDESTE;49942
